"Sample","Bioproject"
"SRR2040671","PRJNA285045"
"SRR2040672","PRJNA285045"
"SRR2040673","PRJNA285045"
"SRR2040674","PRJNA285045"
"SRR2040675","PRJNA285045"
"SRR2040676","PRJNA285045"
"SRR2040677","PRJNA285045"
"SRR2040678","PRJNA285045"
"SRR2040679","PRJNA285045"
"SRR2040680","PRJNA285045"
"SRR2040681","PRJNA285045"
"SRR2072653","PRJNA287674"
"SRR2072654","PRJNA287674"
"SRR2072655","PRJNA287674"
"SRR2072656","PRJNA287674"
"SRR2072657","PRJNA287674"
"SRR2072658","PRJNA287674"
"SRR2072659","PRJNA287674"
"SRR2072660","PRJNA287674"
"SRR2072661","PRJNA287674"
"SRR2072662","PRJNA287674"
"SRR2185654","PRJNA294011"
"SRR2185655","PRJNA294011"
"SRR2185656","PRJNA294011"
"SRR2185657","PRJNA294011"
"SRR2185658","PRJNA294011"
"SRR2185659","PRJNA294011"
"SRR2185660","PRJNA294011"
"SRR2185661","PRJNA294011"
"SRR2185662","PRJNA294011"
"SRR2185663","PRJNA294011"
"SRR2185664","PRJNA294011"
"SRR2185665","PRJNA294011"
"SRR2185666","PRJNA294011"
"SRR2185667","PRJNA294011"
"SRR2185668","PRJNA294011"
"SRR2185669","PRJNA294011"
"SRR2185670","PRJNA294011"
"SRR2185671","PRJNA294011"
"SRR2185672","PRJNA294011"
"SRR2185673","PRJNA294011"
"SRR2185674","PRJNA294011"
"SRR2537183","PRJNA297365"
"SRR2537184","PRJNA297365"
"SRR2537185","PRJNA297365"
"SRR2537186","PRJNA297365"
"SRR2537191","PRJNA297365"
"SRR2537192","PRJNA297365"
"SRR2537193","PRJNA297365"
"SRR2537194","PRJNA297365"
"SRR2537195","PRJNA297365"
"SRR2537196","PRJNA297365"
"SRR2537197","PRJNA297365"
"SRR2537198","PRJNA297365"
"SRR3105671","PRJNA309116"
"SRR3105672","PRJNA309116"
"SRR3105673","PRJNA309116"
"SRR3105674","PRJNA309116"
"SRR3105675","PRJNA309116"
"SRR3105676","PRJNA309116"
"SRR3173720","PRJNA312237"
"SRR3173722","PRJNA312237"
"SRR3173723","PRJNA312237"
"SRR3173724","PRJNA312237"
"SRR3173725","PRJNA312237"
"SRR3173726","PRJNA312237"
"SRR3173727","PRJNA312237"
"SRR3173728","PRJNA312237"
"SRR3173729","PRJNA312237"
"SRR3173730","PRJNA312237"
"SRR3173731","PRJNA312237"
"SRR3173732","PRJNA312237"
"SRR3173733","PRJNA312237"
"SRR3173734","PRJNA312237"
"SRR3173735","PRJNA312237"
"SRR3173736","PRJNA312237"
"SRR3173737","PRJNA312237"
"SRR3173738","PRJNA312237"
"SRR3173739","PRJNA312237"
"SRR3173740","PRJNA312237"
"SRR3173741","PRJNA312237"
"SRR3173742","PRJNA312237"
"SRR3173743","PRJNA312237"
"SRR3173744","PRJNA312237"
"SRR3173745","PRJNA312237"
"SRR3173746","PRJNA312237"
"SRR3173747","PRJNA312237"
"SRR3173748","PRJNA312237"
"SRR3173749","PRJNA312237"
"SRR3173750","PRJNA312237"
"SRR3173751","PRJNA312237"
"SRR3173752","PRJNA312237"
"SRR3173753","PRJNA312237"
"SRR3173754","PRJNA312237"
"SRR3173755","PRJNA312237"
"SRR3173756","PRJNA312237"
"SRR3173757","PRJNA312237"
"SRR3173758","PRJNA312237"
"SRR3173759","PRJNA312237"
"SRR3173760","PRJNA312237"
"SRR3173761","PRJNA312237"
"SRR3173762","PRJNA312237"
"SRR3173763","PRJNA312237"
"SRR3173764","PRJNA312237"
"SRR3173765","PRJNA312237"
"SRR3173766","PRJNA312237"
"SRR3173767","PRJNA312237"
"SRR3173768","PRJNA312237"
"SRR3173769","PRJNA312237"
"SRR3173770","PRJNA312237"
"SRR3173771","PRJNA312237"
"SRR3173772","PRJNA312237"
"SRR3173773","PRJNA312237"
"SRR3184962","PRJNA313027"
"SRR3184963","PRJNA313027"
"SRR3184964","PRJNA313027"
"SRR3184965","PRJNA313027"
"SRR3184966","PRJNA313027"
"SRR3184967","PRJNA313027"
"SRR3184968","PRJNA313027"
"SRR3184969","PRJNA313027"
"SRR3184970","PRJNA313027"
"SRR3184971","PRJNA313027"
"SRR3184972","PRJNA313027"
"SRR3184973","PRJNA313027"
"SRR3184974","PRJNA313027"
"SRR3184975","PRJNA313027"
"SRR3184976","PRJNA313027"
"SRR3184977","PRJNA313027"
"SRR3184978","PRJNA313027"
"SRR3184979","PRJNA313027"
"SRR3211869","PRJNA314583"
"SRR3211870","PRJNA314583"
"SRR3211871","PRJNA314583"
"SRR3211872","PRJNA314583"
"SRR3211873","PRJNA314583"
"SRR3211874","PRJNA314583"
"SRR3211875","PRJNA314583"
"SRR3211876","PRJNA314583"
"SRR3211877","PRJNA314583"
"SRR3211878","PRJNA314583"
"SRR3211879","PRJNA314583"
"SRR3211880","PRJNA314583"
"SRR3211881","PRJNA314583"
"SRR3211882","PRJNA314583"
"SRR3211883","PRJNA314583"
"SRR3269767","PRJNA315807"
"SRR3269768","PRJNA315807"
"SRR3269769","PRJNA315807"
"SRR3269770","PRJNA315807"
"SRR3657711","PRJNA325325"
"SRR3657712","PRJNA325325"
"SRR3657713","PRJNA325325"
"SRR3657714","PRJNA325325"
"SRR3657715","PRJNA325325"
"SRR3657716","PRJNA325325"
"SRR3657717","PRJNA325325"
"SRR3657718","PRJNA325325"
"SRR3657719","PRJNA325325"
"SRR3657720","PRJNA325325"
"SRR3657721","PRJNA325325"
"SRR3657722","PRJNA325325"
"SRR3657723","PRJNA325325"
"SRR3657724","PRJNA325325"
"SRR4066103","PRJNA340183"
"SRR4066104","PRJNA340183"
"SRR4066105","PRJNA340183"
"SRR4066106","PRJNA340183"
"SRR4181026","PRJNA342039"
"SRR4181027","PRJNA342039"
"SRR4181028","PRJNA342039"
"SRR4181029","PRJNA342039"
"SRR4181030","PRJNA342039"
"SRR4181031","PRJNA342039"
"SRR4181032","PRJNA342039"
"SRR4181033","PRJNA342039"
"SRR4181034","PRJNA342039"
"SRR4181035","PRJNA342039"
"SRR4181036","PRJNA342039"
"SRR4181037","PRJNA342039"
"SRR4255613","PRJNA343462"
"SRR4255614","PRJNA343462"
"SRR4255615","PRJNA343462"
"SRR4255616","PRJNA343462"
"SRR4255617","PRJNA343462"
"SRR4255618","PRJNA343462"
"SRR4255619","PRJNA343462"
"SRR4255620","PRJNA343462"
"SRR4255621","PRJNA343462"
"SRR4255622","PRJNA343462"
"SRR4255623","PRJNA343462"
"SRR4255624","PRJNA343462"
"SRR4255625","PRJNA343462"
"SRR4255626","PRJNA343462"
"SRR4255627","PRJNA343462"
"SRR4255628","PRJNA343462"
"SRR4255629","PRJNA343462"
"SRR4255630","PRJNA343462"
"SRR4255631","PRJNA343462"
"SRR4255632","PRJNA343462"
"SRR4255633","PRJNA343462"
"SRR4255634","PRJNA343462"
"SRR4255635","PRJNA343462"
"SRR4255636","PRJNA343462"
"SRR4255637","PRJNA343462"
"SRR4255638","PRJNA343462"
"SRR4255639","PRJNA343462"
"SRR4255640","PRJNA343462"
"SRR4255641","PRJNA343462"
"SRR4255642","PRJNA343462"
"SRR5091919","PRJNA356824"
"SRR5091920","PRJNA356824"
"SRR5091921","PRJNA356824"
"SRR5091922","PRJNA356824"
"SRR5091923","PRJNA356824"
"SRR5091924","PRJNA356824"
"SRR5091925","PRJNA356824"
"SRR5091926","PRJNA356824"
"SRR5091927","PRJNA356824"
"SRR5091928","PRJNA356824"
"SRR5182202","PRJNA362200"
"SRR5182203","PRJNA362200"
"SRR5182204","PRJNA362200"
"SRR5182205","PRJNA362200"
"SRR5182206","PRJNA362200"
"SRR5182207","PRJNA362200"
"SRR5182208","PRJNA362200"
"SRR5182209","PRJNA362200"
"SRR5182210","PRJNA362200"
"SRR5182211","PRJNA362200"
"SRR5182212","PRJNA362200"
"SRR5182213","PRJNA362200"
"SRR6452886","PRJNA362200"
"SRR6452887","PRJNA362200"
"SRR6452888","PRJNA362200"
"SRR6452889","PRJNA362200"
"SRR6452890","PRJNA362200"
"SRR6452891","PRJNA362200"
"SRR6452892","PRJNA362200"
"SRR6452893","PRJNA362200"
"SRR6452894","PRJNA362200"
"SRR6452895","PRJNA362200"
"SRR6452896","PRJNA362200"
"SRR6452897","PRJNA362200"
"SRR6452898","PRJNA362200"
"SRR6452899","PRJNA362200"
"SRR6452900","PRJNA362200"
"SRR6452901","PRJNA362200"
"SRR6452902","PRJNA362200"
"SRR6452903","PRJNA362200"
"SRR6452904","PRJNA362200"
"SRR6452905","PRJNA362200"
"SRR6452906","PRJNA362200"
"SRR6452907","PRJNA362200"
"SRR6452908","PRJNA362200"
"SRR6452909","PRJNA362200"
"SRR6452910","PRJNA362200"
"SRR6452911","PRJNA362200"
"SRR6452912","PRJNA362200"
"SRR6452913","PRJNA362200"
"SRR6452914","PRJNA362200"
"SRR6452915","PRJNA362200"
"SRR6452916","PRJNA362200"
"SRR6452917","PRJNA362200"
"SRR6452918","PRJNA362200"
"SRR6452919","PRJNA362200"
"SRR6452920","PRJNA362200"
"SRR6452921","PRJNA362200"
"SRR6452922","PRJNA362200"
"SRR6452923","PRJNA362200"
"SRR6452924","PRJNA362200"
"SRR5279718","PRJNA376493"
"SRR5279719","PRJNA376493"
"SRR5279720","PRJNA376493"
"SRR5279721","PRJNA376493"
"SRR5279722","PRJNA376493"
"SRR5279723","PRJNA376493"
"SRR5279724","PRJNA376493"
"SRR5279725","PRJNA376493"
"SRR5279726","PRJNA376493"
"SRR5279727","PRJNA376493"
"SRR5279728","PRJNA376493"
"SRR5279729","PRJNA376493"
"SRR5757263","PRJNA391939"
"SRR5757264","PRJNA391939"
"SRR5757265","PRJNA391939"
"SRR5757266","PRJNA391939"
"SRR5757267","PRJNA391939"
"SRR5757268","PRJNA391939"
"SRR5757269","PRJNA391939"
"SRR5757270","PRJNA391939"
"SRR5757271","PRJNA391939"
"SRR5757272","PRJNA391939"
"SRR5757273","PRJNA391939"
"SRR5757274","PRJNA391939"
"SRR5757275","PRJNA391939"
"SRR5757276","PRJNA391939"
"SRR5757277","PRJNA391939"
"SRR5757278","PRJNA391939"
"SRR5757279","PRJNA391939"
"SRR5757280","PRJNA391939"
"SRR5757281","PRJNA391939"
"SRR5757282","PRJNA391939"
"SRR5757283","PRJNA391939"
"SRR5757284","PRJNA391939"
"SRR5757285","PRJNA391939"
"SRR5757286","PRJNA391939"
"SRR5757287","PRJNA391939"
"SRR5757288","PRJNA391939"
"SRR5757289","PRJNA391939"
"SRR5757290","PRJNA391939"
"SRR5757291","PRJNA391939"
"SRR5757292","PRJNA391939"
"SRR5871042","PRJNA395909"
"SRR5871043","PRJNA395909"
"SRR5871044","PRJNA395909"
"SRR5871045","PRJNA395909"
"SRR5871046","PRJNA395909"
"SRR5871047","PRJNA395909"
