"Sample","Bioproject"
"SRR7788691","PRJNA489378"
"SRR7788692","PRJNA489378"
"SRR7788693","PRJNA489378"
"SRR7788694","PRJNA489378"
"SRR7788695","PRJNA489378"
"SRR7788696","PRJNA489378"
"SRR7788697","PRJNA489378"
"SRR7788698","PRJNA489378"
"SRR7788699","PRJNA489378"
"SRR7788700","PRJNA489378"
"SRR7788701","PRJNA489378"
"SRR7788702","PRJNA489378"
"SRR7788703","PRJNA489378"
"SRR7788704","PRJNA489378"
"SRR7788705","PRJNA489378"
"SRR7788706","PRJNA489378"
"SRR7788707","PRJNA489378"
"SRR7788708","PRJNA489378"
"SRR7788709","PRJNA489378"
"SRR7788710","PRJNA489378"
"SRR7788711","PRJNA489378"
"SRR7788712","PRJNA489378"
"SRR7788713","PRJNA489378"
"SRR7788714","PRJNA489378"
"SRR7788715","PRJNA489378"
"SRR7788716","PRJNA489378"
"SRR7788717","PRJNA489378"
"SRR7788718","PRJNA489378"
"SRR7788719","PRJNA489378"
"SRR7788720","PRJNA489378"
"SRR7788721","PRJNA489378"
"SRR7788722","PRJNA489378"
"SRR7788723","PRJNA489378"
"SRR7788724","PRJNA489378"
"SRR7788725","PRJNA489378"
"SRR7788726","PRJNA489378"
"SRR7788727","PRJNA489378"
"SRR7788728","PRJNA489378"
"SRR7788729","PRJNA489378"
"SRR7788730","PRJNA489378"
"SRR7788731","PRJNA489378"
"SRR7811658","PRJNA490034"
"SRR7811659","PRJNA490034"
"SRR7811660","PRJNA490034"
"SRR7811661","PRJNA490034"
"SRR7811662","PRJNA490034"
"SRR7811663","PRJNA490034"
"SRR7811664","PRJNA490034"
"SRR7811665","PRJNA490034"
"SRR7811666","PRJNA490034"
"SRR7811667","PRJNA490034"
"SRR7811668","PRJNA490034"
"SRR7811669","PRJNA490034"
"SRR7811670","PRJNA490034"
"SRR7811671","PRJNA490034"
"SRR7811672","PRJNA490034"
"SRR7811673","PRJNA490034"
"SRR7811674","PRJNA490034"
"SRR7811675","PRJNA490034"
"SRR7811676","PRJNA490034"
"SRR7811677","PRJNA490034"
"SRR7811678","PRJNA490034"
"SRR7811679","PRJNA490034"
"SRR7811680","PRJNA490034"
"SRR7811681","PRJNA490034"
"SRR7811682","PRJNA490034"
"SRR7811683","PRJNA490034"
"SRR7811684","PRJNA490034"
"SRR7811685","PRJNA490034"
"SRR7832306","PRJNA491191"
"SRR7832307","PRJNA491191"
"SRR7832308","PRJNA491191"
"SRR7832309","PRJNA491191"
"SRR7832310","PRJNA491191"
"SRR7832311","PRJNA491191"
"SRR7832312","PRJNA491191"
"SRR7832313","PRJNA491191"
"SRR7832314","PRJNA491191"
"SRR10340338","PRJNA497519"
"SRR10340339","PRJNA497519"
"SRR8079470","PRJNA497519"
"SRR8079472","PRJNA497519"
"SRR8079473","PRJNA497519"
"SRR8079474","PRJNA497519"
"SRR8079475","PRJNA497519"
"SRR8079479","PRJNA497519"
"SRR8079480","PRJNA497519"
"SRR8079481","PRJNA497519"
"SRR8079482","PRJNA497519"
"SRR8079483","PRJNA497519"
"SRR8079484","PRJNA497519"
"SRR8079485","PRJNA497519"
"SRR8240860","PRJNA506829"
"SRR8240861","PRJNA506829"
"SRR8240862","PRJNA506829"
"SRR8240863","PRJNA506829"
"SRR8240864","PRJNA506829"
"SRR8240865","PRJNA506829"
"SRR8240866","PRJNA506829"
"SRR8240867","PRJNA506829"
"SRR8240868","PRJNA506829"
"SRR8240869","PRJNA506829"
"SRR8240870","PRJNA506829"
"SRR8240871","PRJNA506829"
"SRR8240872","PRJNA506829"
"SRR8240873","PRJNA506829"
"SRR8240874","PRJNA506829"
"SRR8240875","PRJNA506829"
"SRR8240876","PRJNA506829"
"SRR8240877","PRJNA506829"
"SRR8240878","PRJNA506829"
"SRR8240879","PRJNA506829"
"SRR8240880","PRJNA506829"
"SRR8240881","PRJNA506829"
"SRR8240882","PRJNA506829"
"SRR8240883","PRJNA506829"
"SRR8240884","PRJNA506829"
"SRR8240885","PRJNA506829"
"SRR8240886","PRJNA506829"
"SRR8240887","PRJNA506829"
"SRR8240888","PRJNA506829"
"SRR8240889","PRJNA506829"
"SRR8240890","PRJNA506829"
"SRR8240891","PRJNA506829"
"SRR8240892","PRJNA506829"
"SRR8240893","PRJNA506829"
"SRR8240894","PRJNA506829"
"SRR8240895","PRJNA506829"
"SRR8240896","PRJNA506829"
"SRR8240897","PRJNA506829"
"SRR8240898","PRJNA506829"
"SRR8240899","PRJNA506829"
"SRR8240900","PRJNA506829"
"SRR8240901","PRJNA506829"
"SRR8241130","PRJNA506844"
"SRR8241131","PRJNA506844"
"SRR8241132","PRJNA506844"
"SRR8241133","PRJNA506844"
"SRR8241134","PRJNA506844"
"SRR8241135","PRJNA506844"
"SRR8241136","PRJNA506844"
"SRR8241137","PRJNA506844"
"SRR8241138","PRJNA506844"
"SRR8241139","PRJNA506844"
"SRR8241140","PRJNA506844"
"SRR8241141","PRJNA506844"
"SRR8241142","PRJNA506844"
"SRR8241143","PRJNA506844"
"SRR8241144","PRJNA506844"
"SRR8263784","PRJNA507640"
"SRR8263785","PRJNA507640"
"SRR8263786","PRJNA507640"
"SRR8263787","PRJNA507640"
"SRR8263788","PRJNA507640"
"SRR8263789","PRJNA507640"
"SRR8263790","PRJNA507640"
"SRR8263791","PRJNA507640"
"SRR8263792","PRJNA507640"
"SRR8263793","PRJNA507640"
"SRR8263794","PRJNA507640"
"SRR8263795","PRJNA507640"
"SRR8266807","PRJNA507749"
"SRR8266808","PRJNA507749"
"SRR8268203","PRJNA507775"
"SRR8268204","PRJNA507775"
"SRR8268205","PRJNA507775"
"SRR8268206","PRJNA507775"
"SRR8268207","PRJNA507775"
"SRR8268208","PRJNA507775"
"SRR8268209","PRJNA507775"
"SRR8268210","PRJNA507775"
"SRR8268211","PRJNA507775"
"SRR8268212","PRJNA507775"
"SRR8268213","PRJNA507775"
"SRR8268214","PRJNA507775"
"SRR8268215","PRJNA507775"
"SRR8268216","PRJNA507775"
"SRR8309206","PRJNA509132"
"SRR8309207","PRJNA509132"
"SRR8309208","PRJNA509132"
"SRR8309209","PRJNA509132"
"SRR8309210","PRJNA509132"
"SRR8309211","PRJNA509132"
"SRR8309212","PRJNA509132"
"SRR8309213","PRJNA509132"
"SRR8309214","PRJNA509132"
"SRR8309215","PRJNA509132"
"SRR8309216","PRJNA509132"
"SRR8309217","PRJNA509132"
"SRR8309218","PRJNA509132"
"SRR8309219","PRJNA509132"
"SRR8309220","PRJNA509132"
"SRR8318591","PRJNA510076"
"SRR8318592","PRJNA510076"
"SRR8318593","PRJNA510076"
"SRR8318594","PRJNA510076"
"SRR8318595","PRJNA510076"
"SRR8318596","PRJNA510076"
"SRR8318597","PRJNA510076"
"SRR8318598","PRJNA510076"
"SRR8435655","PRJNA514750"
"SRR8435656","PRJNA514750"
"SRR8435657","PRJNA514750"
"SRR8435658","PRJNA514750"
"SRR8435659","PRJNA514750"
"SRR8435660","PRJNA514750"
"SRR8435661","PRJNA514750"
"SRR8435662","PRJNA514750"
"SRR8435663","PRJNA514750"
"SRR8435664","PRJNA514750"
"SRR8435665","PRJNA514750"
"SRR8435666","PRJNA514750"
"SRR8435667","PRJNA514750"
"SRR8435668","PRJNA514750"
"SRR8435669","PRJNA514750"
"SRR8435670","PRJNA514750"
"SRR8435671","PRJNA514750"
"SRR8435672","PRJNA514750"
"SRR8435673","PRJNA514750"
"SRR8435674","PRJNA514750"
"SRR8435675","PRJNA514750"
"SRR8435676","PRJNA514750"
"SRR8435677","PRJNA514750"
"SRR8435678","PRJNA514750"
"SRR8435679","PRJNA514750"
"SRR8435680","PRJNA514750"
"SRR8435681","PRJNA514750"
"SRR8435682","PRJNA514750"
"SRR8435683","PRJNA514750"
"SRR8435684","PRJNA514750"
"SRR8435685","PRJNA514750"
"SRR8435686","PRJNA514750"
"SRR8435687","PRJNA514750"
"SRR8435688","PRJNA514750"
"SRR8435689","PRJNA514750"
"SRR8435690","PRJNA514750"
"SRR8435691","PRJNA514750"
"SRR8435692","PRJNA514750"
"SRR8435693","PRJNA514750"
"SRR8435694","PRJNA514750"
"SRR8435695","PRJNA514750"
"SRR8435696","PRJNA514750"
"SRR8435697","PRJNA514750"
"SRR8435698","PRJNA514750"
"SRR8435699","PRJNA514750"
"SRR8528154","PRJNA520897"
"SRR8528155","PRJNA520897"
"SRR8528156","PRJNA520897"
"SRR8528157","PRJNA520897"
"SRR8528158","PRJNA520897"
"SRR8528159","PRJNA520897"
"SRR8528160","PRJNA520897"
"SRR8528161","PRJNA520897"
"SRR8528162","PRJNA520897"
"SRR8528163","PRJNA520897"
"SRR8528164","PRJNA520897"
"SRR8528165","PRJNA520897"
"SRR8528166","PRJNA520897"
"SRR8528167","PRJNA520897"
"SRR8528168","PRJNA520897"
"SRR8528169","PRJNA520897"
"SRR8528170","PRJNA520897"
"SRR8528171","PRJNA520897"
"SRR8528172","PRJNA520897"
"SRR8528173","PRJNA520897"
"SRR8528178","PRJNA520897"
"SRR8528179","PRJNA520897"
"SRR8528180","PRJNA520897"
"SRR8528181","PRJNA520897"
"SRR8528182","PRJNA520897"
"SRR8528183","PRJNA520897"
"SRR8528184","PRJNA520897"
"SRR8528185","PRJNA520897"
"SRR8582308","PRJNA522776"
"SRR8582309","PRJNA522776"
"SRR8582310","PRJNA522776"
"SRR8582311","PRJNA522776"
"SRR8582312","PRJNA522776"
"SRR8582313","PRJNA522776"
"SRR8582314","PRJNA522776"
"SRR8582315","PRJNA522776"
"SRR8582316","PRJNA522776"
"SRR8582317","PRJNA522776"
"SRR8582318","PRJNA522776"
"SRR8582319","PRJNA522776"
"SRR8582320","PRJNA522776"
"SRR8582321","PRJNA522776"
"SRR8582322","PRJNA522776"
"SRR8582323","PRJNA522776"
"SRR8689280","PRJNA525790"
"SRR8689281","PRJNA525790"
"SRR8689282","PRJNA525790"
"SRR8689283","PRJNA525790"
"SRR8689284","PRJNA525790"
"SRR8689285","PRJNA525790"
"SRR8689286","PRJNA525790"
"SRR8689287","PRJNA525790"
"SRR8689288","PRJNA525790"
"SRR8689289","PRJNA525790"
"SRR8689290","PRJNA525790"
"SRR8689291","PRJNA525790"
"SRR8754548","PRJNA528111"
"SRR8754549","PRJNA528111"
"SRR8754550","PRJNA528111"
"SRR8754551","PRJNA528111"
"SRR8754552","PRJNA528111"
"SRR8754553","PRJNA528111"
"SRR8754554","PRJNA528111"
"SRR8754555","PRJNA528111"
"SRR8754556","PRJNA528111"
"SRR8754557","PRJNA528111"
"SRR8754558","PRJNA528111"
"SRR8754559","PRJNA528111"
"SRR8754560","PRJNA528111"
"SRR9307537","PRJNA549074"
"SRR9307538","PRJNA549074"
"SRR9307539","PRJNA549074"
"SRR9307540","PRJNA549074"
"SRR9307541","PRJNA549074"
"SRR9307542","PRJNA549074"
"SRR9307543","PRJNA549074"
"SRR9307544","PRJNA549074"
"SRR9307545","PRJNA549074"
"SRR9307546","PRJNA549074"
"SRR9307547","PRJNA549074"
"SRR9307548","PRJNA549074"
"SRR9674455","PRJNA554266"
"SRR9674456","PRJNA554266"
"SRR9674457","PRJNA554266"
"SRR9674458","PRJNA554266"
"SRR9674459","PRJNA554266"
"SRR9674460","PRJNA554266"
"SRR10087139","PRJNA564575"
"SRR10087140","PRJNA564575"
"SRR10087141","PRJNA564575"
"SRR10087142","PRJNA564575"
"SRR10087143","PRJNA564575"
"SRR10087144","PRJNA564575"
"SRR10189234","PRJNA574273"
"SRR10189235","PRJNA574273"
"SRR10189236","PRJNA574273"
"SRR10189237","PRJNA574273"
"SRR10189238","PRJNA574273"
"SRR10189239","PRJNA574273"
"SRR10189240","PRJNA574273"
"SRR10189241","PRJNA574273"
"SRR10189242","PRJNA574273"
"SRR10189243","PRJNA574273"
"SRR10189244","PRJNA574273"
"SRR10189245","PRJNA574273"
"SRR10200213","PRJNA574844"
"SRR10200214","PRJNA574844"
"SRR10200215","PRJNA574844"
"SRR10200216","PRJNA574844"
"SRR10200217","PRJNA574844"
"SRR10200218","PRJNA574844"
"SRR10200219","PRJNA574844"
"SRR10200220","PRJNA574844"
"SRR10200221","PRJNA574844"
"SRR10200222","PRJNA574844"
"SRR10200223","PRJNA574844"
"SRR10200224","PRJNA574844"
"SRR10222650","PRJNA575569"
"SRR10222651","PRJNA575569"
"SRR10222652","PRJNA575569"
"SRR10222653","PRJNA575569"
"SRR10222654","PRJNA575569"
"SRR10222655","PRJNA575569"
"SRR10222656","PRJNA575569"
"SRR10222657","PRJNA575569"
"SRR10222658","PRJNA575569"
"SRR10222659","PRJNA575569"
"SRR10222660","PRJNA575569"
"SRR10222661","PRJNA575569"
"SRR10238290","PRJNA576205"
"SRR10238291","PRJNA576205"
"SRR10238292","PRJNA576205"
"SRR10238293","PRJNA576205"
"SRR10238294","PRJNA576205"
"SRR10238295","PRJNA576205"
"SRR10238296","PRJNA576205"
"SRR10238297","PRJNA576205"
"SRR10544927","PRJNA592073"
"SRR10544928","PRJNA592073"
"SRR10544929","PRJNA592073"
"SRR10544930","PRJNA592073"
"SRR10544931","PRJNA592073"
"SRR10544932","PRJNA592073"
"SRR10544933","PRJNA592073"
"SRR10544934","PRJNA592073"
"SRR10544935","PRJNA592073"
"SRR10956578","PRJNA602828"
"SRR10956579","PRJNA602828"
"SRR10956580","PRJNA602828"
"SRR10956581","PRJNA602828"
"SRR10956582","PRJNA602828"
"SRR10956583","PRJNA602828"
"SRR10956584","PRJNA602828"
"SRR10956585","PRJNA602828"
"SRR11005169","PRJNA604568"
"SRR11005170","PRJNA604568"
"SRR11005171","PRJNA604568"
"SRR11005172","PRJNA604568"
"SRR11005173","PRJNA604568"
"SRR11005174","PRJNA604568"
"SRR11005175","PRJNA604568"
"SRR11005176","PRJNA604568"
"SRR11243556","PRJNA610525"
"SRR11243557","PRJNA610525"
"SRR11243558","PRJNA610525"
"SRR11243559","PRJNA610525"
"SRR11243560","PRJNA610525"
"SRR11243561","PRJNA610525"
"SRR11243562","PRJNA610525"
"SRR11243563","PRJNA610525"
"SRR11243564","PRJNA610525"
"SRR11243565","PRJNA610525"
"SRR11243566","PRJNA610525"
"SRR11243567","PRJNA610525"
