Gene name	Gene stable ID								
cyp-33E3	WBGene00018333								
F43C11.1	WBGene00018378								
F46H5.5	WBGene00018521								
F48C1.9	WBGene00018601								
F53C3.7	WBGene00018751								
F54D10.8	WBGene00018809								
clec-206	WBGene00019089								
asp-8	WBGene00019105								
bath-12	WBGene00019131								
bath-19	WBGene00019132								
lips-14	WBGene00019208								
lipl-4	WBGene00019376								
cyp-35B2	WBGene00019471								
cyp-35B1	WBGene00019472								
cyp-35A5	WBGene00019473								
K07D4.2	WBGene00019483								
cyp-35A3	WBGene00019565								
oac-58	WBGene00019580								
R05D8.7	WBGene00019885								
fbxc-27	WBGene00019926								
lipl-3	WBGene00020016								
T04B8.2	WBGene00020204								
bath-26	WBGene00020329								
T08B2.12	WBGene00020350								
T12A2.5	WBGene00020439								
T15B7.10	WBGene00020522								
T20D4.13	WBGene00020619								
T20D4.19	WBGene00020624								
T22B7.3	WBGene00020672								
dlhd-1	WBGene00020741								
W03B1.5	WBGene00020974								
ilys-6	WBGene00020982								
W05H7.2	WBGene00021045								
fbxb-99	WBGene00021174								
srz-27	WBGene00021181								
mct-1	WBGene00021227								
pud-1.2	WBGene00021236								
clec-121	WBGene00021291								
Y34F4.2	WBGene00021337								
Y34F4.3	WBGene00021338								
comt-4	WBGene00021491								
ctsa-4.2	WBGene00021503								
clec-76	WBGene00021587								
Y71G12B.18	WBGene00022156								
Y81B9A.2	WBGene00022316								
ZC190.6	WBGene00022540								
ZK177.9	WBGene00022674								
ZK813.1	WBGene00022820								
ZK813.3	WBGene00022822								
ZK1240.1	WBGene00022866								
srz-3	WBGene00023411								
Y54G2A.37	WBGene00023484								
nsph-4.1	WBGene00043743								
F54D5.16	WBGene00044040								
D1086.11	WBGene00044081								
F42F12.11	WBGene00044140								
M117.6	WBGene00044253								
nspa-4	WBGene00044272								
spp-21	WBGene00044284								
F56D6.8	WBGene00044292								
clec-77	WBGene00044343								
F56D6.9	WBGene00044471								
F15E6.10	WBGene00044479								
Y61A9LA.12	WBGene00044586								
B0205.14	WBGene00044646								
C07D10.6	WBGene00044673								
poml-4	WBGene00044697								
F22G12.8	WBGene00044712								
Y59A8B.25	WBGene00044794								
C56A3.9	WBGene00044800								
nta-1	WBGene00044811								
F53F4.17	WBGene00045195								
F20E11.17	WBGene00050906								
T12B5.14	WBGene00050913								
T12B5.15	WBGene00050914								
ZK856.16	WBGene00050936								
Y6G8.9	WBGene00050974								
T08G5.15	WBGene00077573								
C05C10.8	WBGene00086567								
C08E8.11	WBGene00119201								
F23D12.11	WBGene00194674								
Y32B12C.5	WBGene00194769								
K07A1.20	WBGene00219285								
H25P06.5	WBGene00219319								
W06G6.21	WBGene00235081								
ZK105.13	WBGene00235114								
C37C3.17	WBGene00235308								
F49F1.18	WBGene00235368								
F36H5.16	WBGene00270292								
F54D5.24	WBGene00271798								
C52E12.11	WBGene00304189								

